troutbog_mag_00984,TB_0984
deepbio_1_mag_12,DB1_12
rifle_mag_GWD2_38_42,RF_D2_38_42
rifle_mag_GWE1_35_17,RF_E1_35_17
rifle_mag_GWA2_47_10,RF_A2_47_10
rifle_mag_GWA2_43_17,RF_A2_43_17
wrighton_mag_ACD1,WRI__ACD1
rifle_mag_GWA2_45_14,RF_A2_45_14
rifle_mag_GWF1_34_10,RF_F1_34_10
rifle_mag_GWA2_48_9,RF_A2_48_9
rifle_mag_GWA2_56_11,RF_A2_56_11
rifle_mag_GWC2_44_22,RF_C2_44_22
rifle_mag_GWA2_42_14,RF_A2_42_14
rifle_mag_GWC2_39_14,RF_C2_39_14
deepbio_1_mag_10,DB1_10
rifle_mag_GWF2_39_13,RF_F2_39_13
rifle_mag_GWC1_45_18,RF_C1_45_18
rifle_mag_GWD2_43_18,RF_D2_43_18
alinen_mag_12,AM_12
whiteoak_mag_24,WOM_24
deepbio_1_mag_38,DB1_38
rifle_mag_GWF2_50_9,RF_F2_50_9
rifle_mag_GWF2_36_839,RF_F2_36_839
rifle_mag_GWC2_37_14,RF_C2_37_14
rifle_mag_GWD2_42_14,RF_D2_42_14
alinen_mag_123,AM_123
rifle_mag_GWA2_46_9,RF_A2_46_9
rifle_mag_GWF2_40_263,RF_F2_40_263
rifle_mag_GWC2_41_11,RF_C2_41_11
troutbog_mag_00092,TB_0092
rifle_mag_GWC2_44_17,RF_C2_44_17
rifle_mag_GWF2_46_218,RF_F2_46_218
rifle_mag_GWC1_36_108,RF_C1_36_108
rifle_mag_GWA2_38_13,RF_A2_38_13
rifle_mag_GWA2_38_13b,RF_A2_38_13b
troutbog_mag_00282,TB_0282
rifle_mag_GWC2_42_12,RF_C2_42_12
rifle_mag_GWD2_36_12,RF_D2_36_12
rifle_mag_GWC2_48_17,RF_C2_48_17
rifle_mag_GWF2_44_350,RF_F2_44_350
rifle_mag_GWC2_32_10,RF_C2_32_10
Candidatus_Saccharimonas_aalborgensis,SacAal
queensland_mag_579,QLM_579
troutbog_mag_00603,TB_0603
rifle_mag_GWC2_39_22,RF_C2_39_22
rifle_mag_GWF2_39_8,RF_F2_39_8
troutbog_mag_00731,TB_0731
rifle_mag_GWF2_35_39,RF_F2_35_39
rifle_mag_GWC2_40_17,RF_C2_40_17
Candidatus_TM7_SBR2,TM7SBR2
rifle_mag_GWB2_46_69,RF_B2_46_69
rifle_mag_GWA2_43_13,RF_A2_43_13
thawponds_mag_460,TPM_460
rifle_mag_GWA1_44_25,RF_A1_44_25
mendota_mag_545,MD_0545
Candidatus_TM7_SBR4,TM7SBR4
rifle_mag_GWE1_37_24,RF_E1_37_24
AG_128_J15,AG_128_J15
Microgenomates_AAA011_L6,OP11L6
rifle_mag_GWB1_40_14,RF_B1_40_14
queensland_mag_B4,QLM_B4
troutbog_mag_00417,TB_0417
rifle_mag_GWA2_47_7,RF_A2_47_7
rifle_mag_GWC1_38_22,RF_C1_38_22
rifle_mag_GWD2_38_11,RF_D2_38_11
troutbog_mag_00033,TB_0033
rifle_mag_GWA2_44_9,RF_A2_44_9
rifle_mag_GWA2_43_11,RF_A2_43_11
rifle_mag_GWA2_52_12,RF_A2_52_12
rifle_mag_GWF2_38_76,RF_F2_38_76
rifle_mag_GWE2_47_10,RF_E2_47_10
rifle_mag_GWF2_41_40,RF_F2_41_40
rifle_mag_GWA2_49_9,RF_A2_49_9
thawponds_mag_081,TPM_081
wrighton_mag_ACD76,WRI__ACD76
alinen_mag_113,AM_113
troutbog_mag_00202,TB_0202
thawponds_mag_325,TPM_325
rifle_mag_GWC1_45_14,RF_C1_45_14
troutbog_mag_00143,TB_0143
rifle_mag_GWF2_43_32,RF_F2_43_32
rifle_mag_GWF2_42_19,RF_F2_42_19
rifle_mag_GWA2_45_39,RF_A2_45_39
troutbog_mag_00579,TB_0579
wrighton_mag_ACD43,WRI__ACD43
thawponds_mag_525,TPM_525
rifle_mag_GWA2_37_8,RF_A2_37_8
troutbog_mag_00413,TB_0413
troutbog_mag_00283,TB_0283
rifle_mag_GWA2_44_12,RF_A2_44_12
rifle_mag_GWA2_47_26,RF_A2_47_26
rifle_mag_GWA1_47_8,RF_A1_47_8
troutbog_mag_00104,TB_0104
thawponds_mag_215,TPM_215
thawponds_mag_523,TPM_523
rifle_mag_GWA2_43_9b,RF_A2_43_9b
rifle_mag_GWE1_40_20,RF_E1_40_20
FNEB6_bin_28,FNEB6_28
rifle_mag_GWA1_36_12,RF_A1_36_12
rifle_mag_GWA2_47_16,RF_A2_47_16
thawponds_mag_260,TPM_260
thawponds_mag_419,TPM_419
rifle_mag_GWA2_42_15,RF_A2_42_15
rifle_mag_GWD2_52_7,RF_D2_52_7
nelson_mag_LFCK,HF_LFCK
rifle_mag_GWA2_47_10b,RF_A2_47_10b
rifle_mag_GWE1_36_71,RF_E1_36_71
nelson_mag_LFCR,HF_LFCR
rifle_mag_GWC2_38_7,RF_C2_38_7
rifle_mag_GWC2_40_31,RF_C2_40_31
deepbio_1_mag_25,DB1_25
troutbog_mag_00590,TB_0590
rifle_mag_GWA2_36_10,RF_A2_36_10
troutbog_mag_00221,TB_0221
rifle_mag_GWA2_44_13,RF_A2_44_13
queensland_mag_B3,QLM_B3
rifle_mag_GWE1_35_16,RF_E1_35_16
nelson_mag_LFCN,HF_LFCN
rifle_mag_GWC2_39_41,RF_C2_39_41
troutbog_mag_00674,TB_0674
rifle_mag_GWF1_31_48,RF_F1_31_48
deepbio_2_mag_3,DB2_03
queensland_mag_1270,QLM_1270
rifle_mag_GWA1_40_21,RF_A1_40_21
rifle_mag_GWA2_40_37,RF_A2_40_37
deepbio_1_mag_01,DB1_01
rifle_mag_GWA2_45_30,RF_A2_45_30
rifle_mag_GWC2_41_17,RF_C2_41_17
rifle_mag_GWB1_49_9,RF_B1_49_9
rifle_mag_GWC1_43_12,RF_C1_43_12
rifle_mag_GWC1_45_13,RF_C1_45_13
rifle_mag_GWB1_56_8,RF_B1_56_8
Candidatus_TM7_0001002_L20,TM7L20
rifle_mag_GWD2_43_10,RF_D2_43_10
rifle_mag_GWB2_46_37,RF_B2_46_37
troutbog_mag_00926,TB_0926
rifle_mag_GWE2_40_11,RF_E2_40_11
rifle_mag_GWC1_35_31,RF_C1_35_31
rifle_mag_GWA2_43_15,RF_A2_43_15
rifle_mag_GWB1_37_5,RF_B1_37_5
oilsands_mag_059,OIL_059
troutbog_mag_00742,TB_0742
FNED7_bin_18,FNED7_18
troutbog_mag_01080,TB_1080
rifle_mag_GWA2_37_10,RF_A2_37_10
rifle_mag_GWA2_51_10,RF_A2_51_10
rifle_mag_GWC1_38_17,RF_C1_38_17
troutbog_mag_00811,TB_0811
troutbog_mag_00793,TB_0793
rifle_mag_GWA2_52_8d,RF_A2_52_8d
rifle_mag_GWA1_56_13,RF_A1_56_13
rifle_mag_GWB1_52_7,RF_B1_52_7
rifle_mag_GWC1_48_11,RF_C1_48_11
rifle_mag_GWF2_40_12,RF_F2_40_12
kantor_mag_RAAC4,KAN_RAAC4
rifle_mag_GWC1_42_11,RF_C1_42_11
rifle_mag_GWC1_42_21,RF_C1_42_21
rifle_mag_GWC1_43_11b,RF_C1_43_11b
rifle_mag_GWA1_44_13,RF_A1_44_13
FNEB6_bin_47,FNEB6_47
thawponds_mag_370,TPM_370
alinen_sag_M21,AM_M21
deepbio_1_mag_05,DB1_05
thawponds_mag_217,TPM_217
rifle_mag_GWA1_43_15,RF_A1_43_15
rifle_mag_GWB1_50_10,RF_B1_50_10
rifle_mag_GWA2_38_27,RF_A2_38_27
nelson_mag_LFCP,HF_LFCP
troutbog_mag_00606,TB_0606
rifle_mag_GWA2_44_13b,RF_A2_44_13b
rifle_mag_GWC1_43_10,RF_C1_43_10
troutbog_mag_00137,TB_0137
rifle_mag_GWA1_59_11,RF_A1_59_11
rifle_mag_GWF1_45_5,RF_F1_45_5
troutbog_mag_00308,TB_0308
rifle_mag_GWA2_47_8,RF_A2_47_8
rifle_mag_GWA2_40_14,RF_A2_40_14
alinen_sag_K14,AM_K14
nelson_mag_LFCL,HF_LFCL
fuchskuhle_sag_N09,FK_N09
troutbog_mag_00246,TB_0246
rifle_mag_GWA2_33_14,RF_A2_33_14
rifle_mag_GWF1_41_10,RF_F1_41_10
troutbog_mag_00615,TB_0615
rifle_mag_GWC2_41_9,RF_C2_41_9
rifle_mag_GWC2_49_12,RF_C2_49_12
FNEB6_bin_26,FNEB6_26
rifle_mag_GWA1_36_15,RF_A1_36_15
rifle_mag_GWB1_44_7,RF_B1_44_7
rifle_mag_GWF2_52_12,RF_F2_52_12
rifle_mag_GWA2_39_41,RF_A2_39_41
deepbio_1_mag_15,DB1_15
rifle_mag_GWE2_38_18,RF_E2_38_18
thawponds_mag_401,TPM_401
rifle_mag_GWA2_40_9,RF_A2_40_9
rifle_mag_GWB1_45_9,RF_B1_45_9
troutbog_mag_00910,TB_0910
rifle_mag_GWB1_41_6,RF_B1_41_6
whiteoak_mag_74_1,WOM_74_1
thawponds_mag_368,TPM_368
rifle_mag_GWA1_37_20,RF_A1_37_20
rifle_mag_GWA2_45_13,RF_A2_45_13
rifle_mag_GWA2_58_9,RF_A2_58_9
rifle_mag_GWC1_37_10,RF_C1_37_10
nelson_mag_LFCO,HF_LFCO
troutbog_mag_00990,TB_0990
rifle_mag_GWC1_45_9,RF_C1_45_9
rifle_mag_GWA2_42_18,RF_A2_42_18
alinen_sag_N14,AM_N14
rifle_mag_GWC2_41_8,RF_C2_41_8
sak_sag_P19,SAK_P19
rifle_mag_GWB1_40_7,RF_B1_40_7
rifle_mag_GWA2_42_9,RF_A2_42_9
rifle_mag_GWB1_36_5,RF_B1_36_5
whiteoak_mag_74_3,WOM_74_3
rifle_mag_GWA2_53_10,RF_A2_53_10
rifle_mag_GWA2_42_11,RF_A2_42_11
rifle_mag_GWB1_50_9,RF_B1_50_9
rifle_mag_GWA2_45_9,RF_A2_45_9
rifle_mag_GWA2_53_21,RF_A2_53_21
thawponds_mag_487,TPM_487
alinen_sag_L7,AM_L7
rifle_mag_GWA2_39_18,RF_A2_39_18
epr_sag_E14,EPR_E14
rifle_mag_GWC2_35_8,RF_C2_35_8
nelson_mag_LFCM,HF_LFCM
rifle_mag_GWA2_39_24,RF_A2_39_24
Microgenomates_AAA040_P11,OP11P11
hsm_sag_A09,HSM__A09
rifle_mag_GWA2_44_10,RF_A2_44_10
rifle_mag_GWF2_44_8,RF_F2_44_8
rifle_mag_GWA2_51_12,RF_A2_51_12
rifle_mag_GWC1_38_6,RF_C1_38_6
rifle_mag_GWB1_55_9,RF_B1_55_9
alinen_sag_I9,AM_I9
rifle_mag_GWF2_44_8b,RF_F2_44_8b
rifle_mag_GWA2_46_10,RF_A2_46_10
rifle_mag_GWC1_34_10,RF_C1_34_10
hsm_sag_J21,HSM__J21
AG_274_F23,AG_274_F23
AG_122_A06,AG_122_A06
rifle_mag_GWA2_47_21,RF_A2_47_21
rifle_mag_GWC1_41_7,RF_C1_41_7
thawponds_mag_503,TPM_503
AG_138_I18,AG_138_I18
AG_274_K05,AG_274_K05
rifle_mag_GWD2_39_48,RF_D2_39_48
rifle_mag_GWA1_44_24,RF_A1_44_24
rifle_mag_GWA2_47_8b,RF_A2_47_8b
rifle_mag_GWA2_41_14,RF_A2_41_14
rifle_mag_GWA2_31_28,RF_A2_31_28
alinen_sag_H5,AM_H5
rifle_mag_GWB1_41_4,RF_B1_41_4
rifle_mag_GWF2_43_11,RF_F2_43_11
hsm_sag_N16,HSM__N16
AG_138_D22,AG_138_D22
rifle_mag_GWB1_38_8,RF_B1_38_8
AG_138_M21,AG_138_M21
rifle_mag_GWA2_45_15,RF_A2_45_15
rifle_mag_GWB1_49_7,RF_B1_49_7
hsm_sag_A08,HSM__A08
rifle_mag_GWA2_50_10b,RF_A2_50_10b
AD_281_B22,AD_281_B22
rifle_mag_GWB1_45_9b,RF_B1_45_9b
hsm_sag_E09,HSM__E09
rifle_mag_GWF2_44_7,RF_F2_44_7
AG_128_M06,AG_128_M06
AG_138_L22,AG_138_L22
AG_138_K03,AG_138_K03
rifle_mag_GWA1_39_13,RF_A1_39_13
rifle_mag_GWB1_45_7,RF_B1_45_7
AD_971_K14,AD_971_K14
alinen_sag_N13,AM_N13
sak_sag_E21,SAK_E21
AD_706_E13,AD_706_E13
alinen_sag_K7,AM_K7
troutbog_mag_01066,TB_1066
AG_128_G10,AG_128_G10
rifle_mag_GWA2_39_10,RF_A2_39_10
AG_138_A23,AG_138_A23
alinen_sag_N17,AM_N17
rifle_mag_GWA2_41_22,RF_A2_41_22
AG_138_K02,AG_138_K02
AD_281_K09,AD_281_K09
AD_281_M03,AD_281_M03
epr_sag_L21,EPR_L21
AG_138_E14,AG_138_E14
geba_sag_J16,GB_J16
geba_sag_G05,GB_G05
