,PF00035,PF00113,PF00121,PF00154,PF00162,PF00163,PF00164,PF00177,PF00181,PF00189,PF00203,PF00237,PF00238,PF00252,PF00276,PF00281,PF00297,PF00298,PF00312,PF00318,PF00333,PF00338,PF00344,PF00347,PF00366,PF00380,PF00410,PF00411,PF00416,PF00453,PF00466,PF00542,PF00562,PF00572,PF00573,PF00584,PF00623,PF00627,PF00673,PF00687,PF00707,PF00712,PF00750,PF00763,PF00825,PF00828,PF00829,PF00830,PF00831,PF00861,PF00886,PF00889,PF00958,PF01000,PF01016,PF01018,PF01025,PF01084,PF01121,PF01176,PF01193,PF01195,PF01196,PF01245,PF01250,PF01252,PF01281,PF01330,PF01409,PF01416,PF01509,PF01632,PF01649,PF01668,PF01687,PF01715,PF01746,PF01765,PF01783,PF01795,PF02033,PF02130,PF02132,PF02224,PF02367,PF02403,PF02410,PF02527,PF02767,PF02768,PF02772,PF02773,PF02873,PF02882,PF02912,PF02938,PF02978,PF03118,PF03147,PF03461,PF03484,PF03485,PF03602,PF03652,PF03719,PF03726,PF03772,PF03840,PF03946,PF03947,PF03948,PF03952,PF04560,PF04561,PF04563,PF04565,PF04760,PF04983,PF04997,PF04998,PF05000,PF05198,PF05491,PF05697,PF05698,PF06071,PF06418,PF06421,PF06574,PF06689,PF07499,PF08275,PF08459,PF08529,PF10385,PF10458,PF11987,PF12344
PF00035,1.0,0.868725868726,0.88202247191,0.865168539326,0.857142857143,0.86797752809,0.850439882698,0.862275449102,0.910112359551,0.969101123596,0.957865168539,0.963483146067,0.960674157303,0.966292134831,0.912921348315,0.943820224719,0.88202247191,0.86797752809,0.873595505618,0.872159090909,0.898876404494,0.85393258427,0.890449438202,0.921348314607,0.946629213483,0.890449438202,0.926966292135,0.862359550562,0.85393258427,0.872463768116,0.874617737003,0.878048780488,0.870422535211,0.88202247191,0.89606741573,0.852071005917,0.874269005848,0.928571428571,0.943820224719,0.853146853147,0.86,0.884831460674,0.884831460674,0.887820512821,0.893258426966,0.86797752809,0.867605633803,0.866666666667,0.850704225352,0.907303370787,0.907185628743,0.877840909091,0.913043478261,0.876404494382,0.842406876791,0.884955752212,0.852272727273,0.883582089552,0.875,0.85,0.890449438202,0.887640449438,0.884831460674,0.887459807074,0.874285714286,0.901639344262,0.860248447205,0.859281437126,0.957865168539,1.0,0.900662251656,0.854237288136,0.866666666667,0.87537993921,0.89156626506,0.865102639296,0.899696048632,0.893258426966,0.953020134228,0.870786516854,0.878676470588,0.858858858859,0.869127516779,0.878048780488,0.876056338028,0.85838150289,1.0,0.821917808219,0.887640449438,0.893258426966,0.911949685535,0.9125,0.892617449664,0.88198757764,0.903409090909,0.842105263158,1.0,0.855018587361,0.877551020408,0.857142857143,0.890566037736,0.885885885886,0.881679389313,0.869718309859,0.898876404494,0.838926174497,0.853521126761,0.863636363636,0.865168539326,0.926966292135,0.858490566038,0.873015873016,0.870786516854,0.874213836478,0.87619047619,0.880733944954,0.904,0.872463768116,0.873156342183,0.879213483146,0.876543209877,0.861764705882,0.880341880342,0.861111111111,0.861486486486,0.873529411765,0.87676056338,0.879213483146,0.892156862745,0.333333333333,0.863636363636,0.872023809524,0.862876254181,0.849858356941,0.876506024096,0.895238095238,0.875354107649,0.890784982935
PF00113,0.868725868726,1.0,0.888030888031,0.880308880309,0.903474903475,0.891891891892,0.814671814672,0.799227799228,0.92277992278,0.957528957529,0.96138996139,0.969111969112,0.945945945946,0.942084942085,0.926640926641,0.92277992278,0.899613899614,0.891891891892,0.876447876448,0.841698841699,0.907335907336,0.857142857143,0.899613899614,0.918918918919,0.934362934363,0.899613899614,0.911196911197,0.891891891892,0.880308880309,0.822393822394,0.803088803089,0.799227799228,0.864864864865,0.895752895753,0.899613899614,0.837837837838,0.830115830116,0.857142857143,0.918918918919,0.853146853147,0.841698841699,0.876447876448,0.864864864865,0.810810810811,0.876447876448,0.880308880309,0.895752895753,0.662222222222,0.857142857143,0.895752895753,0.810810810811,0.84555984556,0.710144927536,0.903474903475,0.849420849421,0.575221238938,0.857142857143,0.841698841699,0.8125,0.841698841699,0.915057915058,0.876447876448,0.899613899614,0.760617760618,0.853281853282,0.860655737705,0.799227799228,0.791505791506,0.953667953668,0.5,0.748344370861,0.76833976834,0.818532818533,0.795366795367,0.722891566265,0.849420849421,0.795366795367,0.891891891892,0.733590733591,0.872586872587,0.675675675676,0.830115830116,0.791505791506,0.682926829268,0.853281853282,0.837837837838,1.0,0.72602739726,0.880308880309,0.88416988417,0.710691823899,0.7125,0.737451737452,0.826254826255,0.710227272727,0.789473684211,1.0,0.590733590734,0.837837837838,0.928571428571,0.675675675676,0.822393822394,0.679536679537,0.694980694981,0.903474903475,0.61744966443,0.868725868726,0.830115830116,0.888030888031,0.945945945946,0.787644787645,1.0,0.864864864865,0.779922779923,0.772200772201,0.810810810811,0.864,0.830115830116,0.826254826255,0.864864864865,0.76833976834,0.822393822394,0.837837837838,0.718146718147,0.733590733591,0.837837837838,0.752895752896,0.903474903475,0.71568627451,0.666666666667,0.772200772201,0.795366795367,0.718146718147,0.841698841699,0.822393822394,0.838095238095,0.895752895753,0.72972972973
PF00121,0.88202247191,0.888030888031,1.0,0.879551820728,0.918367346939,0.878453038674,0.879765395894,0.883233532934,0.917127071823,0.96408839779,0.961325966851,0.96408839779,0.950276243094,0.953038674033,0.917127071823,0.944751381215,0.900552486188,0.875690607735,0.880555555556,0.877840909091,0.911602209945,0.890449438202,0.900552486188,0.919889502762,0.936464088398,0.89226519337,0.92817679558,0.875346260388,0.877094972067,0.878260869565,0.877675840979,0.881097560976,0.89014084507,0.883977900552,0.906077348066,0.87573964497,0.897660818713,0.928571428571,0.941988950276,0.902097902098,0.874285714286,0.861878453039,0.885474860335,0.884615384615,0.883977900552,0.883977900552,0.887323943662,0.888888888889,0.853521126761,0.908839779006,0.877245508982,0.875,0.913043478261,0.89226519337,0.868194842407,0.884955752212,0.869318181818,0.874626865672,0.90625,0.879411764706,0.906077348066,0.877437325905,0.895027624309,0.903536977492,0.865714285714,0.877049180328,0.878881987578,0.88622754491,0.958563535912,0.5,0.907284768212,0.877966101695,0.872463768116,0.87537993921,0.903614457831,0.888563049853,0.884498480243,0.903314917127,0.879194630872,0.8891966759,0.875,0.870870870871,0.89932885906,0.896341463415,0.876056338028,0.869942196532,1.0,0.890410958904,0.867403314917,0.881215469613,0.905660377358,0.9,0.895973154362,0.878881987578,0.909090909091,0.894736842105,1.0,0.877323420074,0.897959183673,1.0,0.898113207547,0.891891891892,0.900763358779,0.915492957746,0.914364640884,0.879194630872,0.884507042254,0.866477272727,0.875346260388,0.936464088398,0.880503144654,0.892857142857,0.890449438202,0.905660377358,0.907936507937,0.911314984709,0.896,0.895652173913,0.893805309735,0.886426592798,0.895061728395,0.870588235294,0.888888888889,0.881944444444,0.881756756757,0.882352941176,0.890845070423,0.881215469613,0.921568627451,0.333333333333,0.884848484848,0.877976190476,0.872909698997,0.875354107649,0.903614457831,0.904761904762,0.869688385269,0.897610921502
PF00154,0.865168539326,0.880308880309,0.879551820728,1.0,0.877551020408,0.879551820728,0.868035190616,0.874251497006,0.927170868347,0.977591036415,0.96918767507,0.971988795518,0.960784313725,0.96918767507,0.927170868347,0.946778711485,0.887955182073,0.873949579832,0.882352941176,0.872159090909,0.918767507003,0.88202247191,0.904761904762,0.932773109244,0.949579831933,0.885154061625,0.941176470588,0.871148459384,0.868347338936,0.878260869565,0.892966360856,0.890243902439,0.87323943662,0.87675070028,0.910364145658,0.866863905325,0.880116959064,0.928571428571,0.949579831933,0.846153846154,0.871428571429,0.890756302521,0.890756302521,0.884615384615,0.901960784314,0.887955182073,0.887323943662,0.888888888889,0.845070422535,0.918767507003,0.889221556886,0.872159090909,0.913043478261,0.882352941176,0.865329512894,0.884955752212,0.886363636364,0.928358208955,0.90625,0.870588235294,0.896358543417,0.871148459384,0.887955182073,0.900321543408,0.928571428571,0.844262295082,0.863354037267,0.88622754491,0.943977591036,1.0,0.913907284768,0.874576271186,0.88115942029,0.881458966565,0.855421686747,0.894428152493,0.887537993921,0.90756302521,0.88255033557,0.899159663866,0.886029411765,0.864864864865,0.88255033557,0.90243902439,0.878873239437,0.867052023121,1.0,0.86301369863,0.896358543417,0.899159663866,0.905660377358,0.90625,0.892617449664,0.872670807453,0.863636363636,0.921052631579,1.0,0.873605947955,0.892128279883,0.5,0.890566037736,0.894894894895,0.916030534351,0.87323943662,0.918767507003,0.872483221477,0.864788732394,0.894886363636,0.871148459384,0.949579831933,0.864779874214,0.880952380952,0.870786516854,0.877358490566,0.879365079365,0.880733944954,0.88,0.88115942029,0.879056047198,0.885154061625,0.882716049383,0.873529411765,0.868945868946,0.868055555556,0.864864864865,0.908823529412,0.908450704225,0.896358543417,0.911764705882,1.0,0.878787878788,0.886904761905,0.896321070234,0.8611898017,0.882530120482,0.895238095238,0.883852691218,0.887372013652
PF00162,0.857142857143,0.903474903475,0.918367346939,0.877551020408,1.0,0.880466472303,0.844574780059,0.841317365269,0.918367346939,0.962099125364,0.959183673469,0.965014577259,0.944606413994,0.953352769679,0.915451895044,0.941690962099,0.889212827988,0.889212827988,0.877551020408,0.868804664723,0.903790087464,0.871720116618,0.895043731778,0.921282798834,0.932944606414,0.897959183673,0.930029154519,0.871720116618,0.868804664723,0.845481049563,0.850152905199,0.850609756098,0.868804664723,0.889212827988,0.903790087464,0.831360946746,0.845029239766,0.857142857143,0.938775510204,0.853146853147,0.854227405248,0.889212827988,0.877551020408,0.830128205128,0.892128279883,0.874635568513,0.874635568513,0.831111111111,0.830903790087,0.906705539359,0.844311377246,0.868804664723,0.855072463768,0.895043731778,0.842565597668,0.818584070796,0.857142857143,0.841791044776,0.890625,0.829411764706,0.903790087464,0.860058309038,0.897959183673,0.842443729904,0.857142857143,0.852459016393,0.844720496894,0.826347305389,0.959183673469,1.0,0.847682119205,0.840677966102,0.825072886297,0.835866261398,0.855421686747,0.853372434018,0.854103343465,0.892128279883,0.835570469799,0.889212827988,0.823529411765,0.81981981982,0.832214765101,0.853658536585,0.862973760933,0.836734693878,1.0,0.821917808219,0.889212827988,0.895043731778,0.867924528302,0.8625,0.865771812081,0.826086956522,0.846590909091,0.973684210526,1.0,0.814126394052,0.845481049563,0.928571428571,0.841509433962,0.852852852853,0.843511450382,0.81338028169,0.906705539359,0.859060402685,0.865889212828,0.860058309038,0.886297376093,0.932944606414,0.852201257862,0.916666666667,0.874635568513,0.845911949686,0.847619047619,0.847094801223,0.896,0.848396501458,0.846607669617,0.874635568513,0.836419753086,0.832352941176,0.857142857143,0.833333333333,0.831081081081,0.847058823529,0.87676056338,0.892128279883,0.892156862745,0.666666666667,0.827272727273,0.83630952381,0.85618729097,0.851311953353,0.843373493976,0.866666666667,0.862973760933,0.849829351536
PF00163,0.86797752809,0.891891891892,0.878453038674,0.879551820728,0.880466472303,1.0,0.876832844575,0.874251497006,0.909090909091,0.95867768595,0.95867768595,0.95867768595,0.95041322314,0.955922865014,0.909090909091,0.933884297521,0.881542699725,0.886740331492,0.869444444444,0.880681818182,0.895316804408,0.873595505618,0.870523415978,0.914600550964,0.942148760331,0.961432506887,0.922865013774,0.986149584488,0.983240223464,0.88115942029,0.889908256881,0.890243902439,0.884507042254,0.95867768595,0.895316804408,0.89349112426,0.888888888889,1.0,0.936639118457,0.867132867133,0.885714285714,0.876033057851,0.868715083799,0.875,0.887052341598,0.861878453039,0.892957746479,0.888888888889,0.845070422535,0.892561983471,0.895209580838,0.880681818182,0.913043478261,0.977961432507,0.876790830946,0.871681415929,0.889204545455,0.868656716418,0.90625,0.985294117647,0.98347107438,0.871866295265,0.972451790634,0.897106109325,0.874285714286,0.860655737705,0.894409937888,0.889221556886,0.944903581267,1.0,0.900662251656,0.881355932203,0.875362318841,0.905775075988,0.903614457831,0.891495601173,0.896656534954,0.895316804408,0.88255033557,0.87811634349,0.878676470588,0.861861861862,0.88255033557,0.865853658537,0.87323943662,0.872832369942,1.0,0.917808219178,0.881542699725,0.892561983471,0.911949685535,0.9125,0.909395973154,0.869565217391,0.869318181818,0.894736842105,1.0,0.959107806691,0.880466472303,1.0,0.867924528302,0.873873873874,0.87786259542,0.87323943662,0.889807162534,0.832214765101,0.864788732394,0.875,0.886426592798,0.931129476584,0.899371069182,0.892857142857,0.884831460674,0.896226415094,0.898412698413,0.902140672783,0.856,0.889855072464,0.890855457227,0.880886426593,0.885802469136,0.891176470588,0.877492877493,0.864583333333,0.858108108108,0.885294117647,0.880281690141,0.867403314917,0.872549019608,0.333333333333,0.884848484848,0.869047619048,0.852842809365,0.886685552408,0.894578313253,0.847619047619,0.866855524079,0.877133105802
PF00164,0.850439882698,0.814671814672,0.879765395894,0.868035190616,0.844574780059,0.876832844575,1.0,0.988023952096,0.92082111437,0.976539589443,0.973607038123,0.976539589443,0.956011730205,0.964809384164,0.926686217009,0.941348973607,0.900293255132,0.873900293255,0.865102639296,0.859237536657,0.900293255132,0.900293255132,0.891495601173,0.91788856305,0.947214076246,0.882697947214,0.929618768328,0.870967741935,0.862170087977,0.8357771261,0.822629969419,0.823170731707,0.870967741935,0.876832844575,0.912023460411,0.816568047337,0.844574780059,0.857142857143,0.938416422287,0.734265734266,0.853372434018,0.888563049853,0.879765395894,0.804487179487,0.894428152493,0.870967741935,0.868035190616,0.897777777778,0.841642228739,0.909090909091,0.823353293413,0.859237536657,0.869565217391,0.885630498534,0.850439882698,0.893805309735,0.870967741935,0.826865671642,0.734375,0.811764705882,0.897360703812,0.856304985337,0.885630498534,0.836012861736,0.847507331378,0.704918032787,0.819875776398,0.841317365269,0.941348973607,1.0,0.841059602649,0.833898305085,0.824046920821,0.835866261398,0.843373493976,0.82991202346,0.848024316109,0.885630498534,0.812080536913,0.885630498534,0.860294117647,0.795795795796,0.825503355705,0.768292682927,0.868035190616,0.824046920821,1.0,0.86301369863,0.888563049853,0.900293255132,0.817610062893,0.81875,0.842281879195,0.804347826087,0.738636363636,0.868421052632,1.0,0.82156133829,0.826979472141,0.428571428571,0.8,0.840840840841,0.832061068702,0.80985915493,0.903225806452,0.832214765101,0.876832844575,0.856304985337,0.870967741935,0.941348973607,0.823899371069,0.81746031746,0.876832844575,0.836477987421,0.834920634921,0.840978593272,0.776,0.853372434018,0.846607669617,0.888563049853,0.83950617284,0.829411764706,0.862170087977,0.815972222222,0.807432432432,0.855882352941,0.81338028169,0.870967741935,0.892156862745,1.0,0.851515151515,0.83630952381,0.836120401338,0.847507331378,0.840361445783,0.771428571429,0.873900293255,0.849829351536
PF00177,0.862275449102,0.799227799228,0.883233532934,0.874251497006,0.841317365269,0.874251497006,0.988023952096,1.0,0.922155688623,0.979041916168,0.976047904192,0.979041916168,0.958083832335,0.967065868263,0.931137724551,0.943113772455,0.907185628743,0.87125748503,0.865269461078,0.862275449102,0.907185628743,0.913173652695,0.892215568862,0.922155688623,0.949101796407,0.880239520958,0.934131736527,0.868263473054,0.862275449102,0.826347305389,0.810397553517,0.814024390244,0.87125748503,0.874251497006,0.922155688623,0.805389221557,0.847305389222,0.857142857143,0.937125748503,0.734265734266,0.844311377246,0.892215568862,0.883233532934,0.794871794872,0.907185628743,0.883233532934,0.865269461078,0.871111111111,0.844311377246,0.916167664671,0.814371257485,0.859281437126,0.840579710145,0.883233532934,0.85628742515,0.871681415929,0.874251497006,0.811377245509,0.734375,0.811377245509,0.895209580838,0.853293413174,0.883233532934,0.826366559486,0.847305389222,0.704918032787,0.804347826087,0.832335329341,0.937125748503,1.0,0.827814569536,0.803389830508,0.835329341317,0.817629179331,0.843373493976,0.829341317365,0.83282674772,0.892215568862,0.805369127517,0.880239520958,0.838235294118,0.774774774775,0.815436241611,0.780487804878,0.865269461078,0.829341317365,1.0,0.794520547945,0.889221556886,0.898203592814,0.817610062893,0.81875,0.825503355705,0.795031055901,0.738636363636,0.868421052632,1.0,0.799256505576,0.826347305389,0.428571428571,0.792452830189,0.831831831832,0.828244274809,0.802816901408,0.910179640719,0.818791946309,0.865269461078,0.859281437126,0.87125748503,0.943113772455,0.808176100629,0.809523809524,0.877245508982,0.823899371069,0.822222222222,0.82874617737,0.768,0.85628742515,0.844311377246,0.88622754491,0.820987654321,0.820359281437,0.862275449102,0.802083333333,0.793918918919,0.853293413174,0.799295774648,0.865269461078,0.862745098039,0.666666666667,0.842424242424,0.829341317365,0.822742474916,0.850299401198,0.828313253012,0.742857142857,0.874251497006,0.832764505119
PF00181,0.910112359551,0.92277992278,0.917127071823,0.927170868347,0.918367346939,0.909090909091,0.92082111437,0.922155688623,1.0,0.98955613577,0.992167101828,0.992167101828,0.971279373368,0.97911227154,0.971279373368,0.953002610966,0.964577656676,0.911602209945,0.905555555556,0.914772727273,0.925333333333,0.955056179775,0.927223719677,0.934725848564,0.963446475196,0.913513513514,0.945169712794,0.908587257618,0.905027932961,0.915942028986,0.905198776758,0.908536585366,0.932394366197,0.91280653951,0.968085106383,0.914201183432,0.926900584795,1.0,0.953002610966,0.895104895105,0.92,0.911845730028,0.913407821229,0.900641025641,0.904632152589,0.930939226519,0.912676056338,0.911111111111,0.92676056338,0.928381962865,0.919161676647,0.914772727273,0.913043478261,0.907356948229,0.9111747851,0.907079646018,0.914772727273,0.916417910448,0.890625,0.914705882353,0.908602150538,0.91643454039,0.910810810811,0.929260450161,0.911428571429,0.918032786885,0.919254658385,0.910179640719,0.945169712794,1.0,0.920529801325,0.918644067797,0.904347826087,0.917933130699,0.89156626506,0.909090909091,0.920972644377,0.913513513514,0.929530201342,0.905817174515,0.922794117647,0.912912912913,0.91610738255,0.908536585366,0.907042253521,0.916184971098,1.0,0.917808219178,0.912328767123,0.905405405405,0.924528301887,0.91875,0.922818791946,0.903726708075,0.909090909091,0.921052631579,1.0,0.907063197026,0.912536443149,0.928571428571,0.905660377358,0.90990990991,0.919847328244,0.915492957746,0.922666666667,0.892617449664,0.90985915493,0.923295454545,0.914127423823,0.997389033943,0.924528301887,0.928571428571,0.935393258427,0.943396226415,0.942857142857,0.94495412844,0.912,0.927536231884,0.926253687316,0.919667590028,0.929012345679,0.917647058824,0.91452991453,0.916666666667,0.908783783784,0.908823529412,0.904929577465,0.911602209945,0.921568627451,1.0,0.90303030303,0.919642857143,0.909698996656,0.903682719547,0.939759036145,0.914285714286,0.920679886686,0.914675767918
PF00189,0.969101123596,0.957528957529,0.96408839779,0.977591036415,0.962099125364,0.95867768595,0.976539589443,0.979041916168,0.98955613577,1.0,0.990074441687,0.99012345679,0.98753117207,0.990074441687,0.994778067885,0.984771573604,0.991825613079,0.958563535912,0.963888888889,0.963068181818,0.984,0.988764044944,0.978436657682,0.981865284974,0.989898989899,0.951351351351,0.984575835476,0.958448753463,0.958100558659,0.959420289855,0.963302752294,0.963414634146,0.977464788732,0.953678474114,0.992021276596,0.958579881657,0.973684210526,1.0,0.984771573604,0.93006993007,0.957142857143,0.969696969697,0.972067039106,0.955128205128,0.967302452316,0.983425414365,0.966197183099,0.968888888889,0.991549295775,0.986737400531,0.973053892216,0.963068181818,0.971014492754,0.956403269755,0.959885386819,0.982300884956,0.965909090909,0.970149253731,0.9375,0.958823529412,0.956989247312,0.961002785515,0.956756756757,0.967845659164,0.971428571429,0.950819672131,0.972049689441,0.97005988024,0.954887218045,1.0,0.960264900662,0.949152542373,0.96231884058,0.966565349544,1.0,0.964809384164,0.969604863222,0.97027027027,0.979865771812,0.96675900277,0.966911764706,0.963963963964,0.963087248322,0.981707317073,0.957746478873,0.965317919075,1.0,0.972602739726,0.969863013699,0.962162162162,0.993710691824,0.99375,0.973154362416,0.95652173913,0.943181818182,0.973684210526,1.0,0.947955390335,0.959183673469,1.0,0.958490566038,0.972972972973,0.980916030534,0.964788732394,0.984,0.93288590604,0.966197183099,0.96875,0.958448753463,0.989769820972,0.971698113208,0.960317460317,0.977528089888,0.98427672956,0.984126984127,0.984709480122,0.952,0.973913043478,0.973451327434,0.969529085873,0.978395061728,0.955882352941,0.968660968661,0.965277777778,0.956081081081,0.964705882353,0.961267605634,0.96408839779,0.980392156863,1.0,0.963636363636,0.967261904762,0.973244147157,0.963172804533,0.981927710843,0.933333333333,0.968838526912,0.972696245734
